//前三行是注释行
//注意：逗号必须是英文逗号"," 
//  老师的姓名最好是英文或拼音，中文对不齐
有几个老师：   36   老师上几节课：  4   一周要上几天课：  9   一天有几节课：  16
//注释：姓名-->Di-->Pi-->Ai-->ai-->bi-->ci    '['表示开始读新的老师的数据    ']' 表示读完了这个新的老师的数据  "]666"表示读完了所有老师的数据
[ SongJiang  ,  0 1 2 3 4 5 6 7 8  ,  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15  ,  1 , 2 1 , 0 1 ,  3 1 ]
[ LuJunYi      ,  6 5 4 3 8 7 2 1 0   ,  0 1 2 5 6 7 8 9 10 3 4 11 12 13 14 15  ,  1 , 5 1 , 2 1 ,  2 2 ]
[ WuYong    ,  8 7 6 5 4 3 2 1 0  ,  15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0   ,  0 , 2 1 , 0 1 ,  1 1 ]
[ GSShen     ,  0 1 2 3 4 5 6 7 8  ,  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15  ,  1 , 2 1 , 0 1 ,  1 4 ]
[ GuanShen  ,  0 1 2 3 4 5 6 7 8  ,  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15  ,  0 , 5 6 , 0 4 ,  1 1 ]
[ LinChong  ,  8 7 6 5 4 3 2 1 0  ,  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15  ,  0 , 4 1 , 0 1 ,  1 1 ]
[ QinMing    ,  0 1 2 3 4 5 6 7 8  ,  15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0  ,  0 , 2 1 , 0 1 ,  1 4 ]
[ HuYanZ      ,  0 1 2 3 4 5 6 7 8  ,  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15  ,  0 , 2 5 , 0 4 ,  1 1 ]
[ HuaRong   ,  8 7 6 5 4 3 2 1 0  ,  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15  ,  0 , 2 1 , 0 1 ,  1 1 ]
[ ChaiJin      ,  6 5 4 3 8 7 2 1 0  ,  15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0   ,  0 , 2 1 , 0 1 ,  1 4 ]
[ LiYing       ,  0 1 2 3 4 5 6 7 8  ,  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15  ,  1 , 2 1 , 0 1 ,  1 1 ]
[ ZhuTong   ,  0 1 2 3 4 5 6 7 8  ,  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15  ,  1 , 2 0 , 0 1 ,  1 5 ]
[ LuZhiS       ,  8 7 6 5 4 3 2 1 0  ,  15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0   ,  1 , 2 1 , 0 1 ,  1 1 ]
[ WuSong    ,  0 1 2 3 4 5 6 7 8  ,  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15  ,  1 , 2 1 , 0 1 ,  1 1 ]
[ DongPing  ,  0 1 2 3 4 5 6 7 8  ,  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15  ,  1 , 0 1 , 0 1 ,  1 1 ]
[ ZhangQ     ,  8 7 6 5 4 3 2 1 0  , 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0   ,  1 , 2 0 , 0 1 ,  1 7 ]
[ YangZhi    ,  0 1 2 3 4 5 6 7 8  ,  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15  ,  1 , 8 1 , 0 8 ,  1 1 ]
[ XuNing     ,  8 7 6 5 4 3 2 1 0  ,  15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0   ,  1 , 2 1 , 7 1 ,  1 7 ]
[ SuoChao   ,  6 5 4 3 8 7 2 1 0  ,  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15  ,  1 , 2 1 , 0 1 ,  7 1 ]
[ DaiZong    ,  0 1 2 3 4 5 6 7 8  ,  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15  ,  1 , 2 1 , 8 1 ,  8 1 ]
[ LiuTang     ,  8 7 6 5 4 3 2 1 0  ,  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15  ,  1 , 2 9 , 0 1 ,  1 9 ]
[ LiKui         ,  0 1 2 3 4 5 6 7 8  ,  15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0   ,  1 , 2 1 , 0 1 ,  4 1 ]
[ ShiJing     ,  8 7 6 5 4 3 2 1 0  ,  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15  ,  0 , 2 8 , 0 1 ,  1 1 ]
[ MuHong  ,  0 1 2 3 4 5 6 7 8  ,  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15  ,  1 , 2 1 , 4 8 ,  1 1 ]
[ LeiHeng   ,  0 1 2 3 4 5 6 7 8  ,  15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0   ,  1 , 2 1 , 0 1 ,  1 1 ]
[ LiJun       ,  0 1 2 3 4 5 6 7 8  ,  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15  ,  1 , 2 1 , 0 1 ,  1 1 ]
[ Ruan2      ,  8 7 6 5 4 3 2 1 0  ,  15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0   ,  0 , 2 1 , 0 1 ,  3 3 ]
[ Ruan5      ,  0 1 2 3 4 5 6 7 8  ,  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15  ,  1 , 2 1 , 3 1 ,  1 1 ]
[ Ruan7      ,  8 7 6 5 4 3 2 1 0  ,  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15  ,  0  , 2 1 , 0 1 ,  3 1 ]
[ ZhangH    ,  0 1 2 3 4 5 6 7 8  ,  15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0   ,  1 , 2 1 , 0 1 ,  1 5 ]
[ ZhangS    ,  8 7 6 5 4 3 2 1 0  ,  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15  ,  1 , 2 7 , 0 1 ,  1 1 ]
[ YangX      ,  0 1 2 3 4 5 6 7 8  ,  15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0   ,  0 , 2 1 , 0 7 ,  1 1 ]
[ ShiXiu      ,  6 5 4 3 8 7 2 1 0  ,  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15  ,  1 , 5 1 , 0 1 ,  1 9 ]
[ HaiZhen   ,  6 5 4 3 8 7 2 1 0  ,  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15  ,  1 , 2 1 , 4 4 ,  1 5 ]
[ HaiBao     ,  6 5 4 3 8 7 2 1 0  ,  15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0   ,  1 , 0 1 , 0 0 ,  1 1 ]
[ YanQing  ,  0 1 2 3 4 5 6 7 8  , 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0   ,  1 , 2 1 , 0 1 ,  6 1 ]666







